지역,건물동수,연면적,에너지사용량(TOE)/전기,에너지사용량(TOE)/도시가스,에너지사용량(TOE)/지역난방
중구,"9,675","6,072,820","30,385","27,290","1,228"
동구,"5,157","2,084,655","10,098","17,304",0
미추홀구,"27,416","14,515,405","64,888","115,779","3,161"
연수구,"6,019","16,083,104","71,719","53,937","48,334"
남동구,"15,778","20,069,381","83,170","117,963","30,042"
부평구,"18,209","16,027,116","80,560","106,152","34,342"
계양구,"9,009","10,303,100","46,527","73,634","13,531"
서구,"16,208","19,804,779","81,498","131,016","31,475"
강화군,"19,933","3,021,348","18,355","8,054",0
옹진군,"5,337","791,007","5,554",0,0
