지역,건물동수,연면적,에너지사용량(TOE)/전기,에너지사용량(TOE)/도시가스,에너지사용량(TOE)/지역난방
중구,"9,529","6,316,342","31,527","29,665","4,843"
동구,"5,015","2,186,129","10,336","17,704",0
미추홀구,"25,676","14,830,633","65,328","116,521","5,337"
연수구,"6,086","17,333,726","76,711","54,843","53,833"
남동구,"15,407","20,293,665","86,011","119,478","31,699"
부평구,"16,786","15,970,130","79,658","103,022","35,547"
계양구,"8,752","10,507,228","47,236","72,809","14,604"
서구,"16,468","20,259,326","85,179","133,578","32,859"
강화군,"19,992","3,060,696","17,996","8,645",0
옹진군,"5,310","781,239","5,641",0,0
