지역,건물동수,연면적,에너지사용량(TOE)/전기,에너지사용량(TOE)/도시가스,에너지사용량(TOE)/지역난방
종로구,"22,845","18,551,145","125,179","117,061",0
중구,"14,776","19,714,506","159,236","125,619",10
용산구,"20,154","16,169,577","97,661","108,624","12,330"
성동구,"15,934","19,130,128","121,082","122,439",44
광진구,"23,861","16,390,039","101,388","148,425",0
동대문구,"24,359","17,820,851","101,233","136,709",0
중랑구,"26,005","21,135,754","85,057","127,717","8,711"
성북구,"30,169","20,599,678","112,425","172,327",0
강북구,"25,668","12,347,966","71,168","113,504",0
도봉구,"15,023","15,382,610","69,253","104,214","8,405"
노원구,"11,925","22,230,328","119,214","114,605","53,944"
은평구,"28,205","19,594,094","111,247","157,336","16,404"
서대문구,"20,142","16,625,283","93,319","129,423","7,857"
마포구,"22,621","23,134,516","168,020","149,218","41,874"
양천구,"16,869","20,542,764","124,853","98,845","57,371"
강서구,"23,791","33,375,091","178,663","167,615","68,147"
구로구,"20,157","22,370,152","145,825","154,298","5,625"
금천구,"14,358","16,698,662","114,252","95,608",746
영등포구,"23,025","29,109,153","198,560","176,138","18,466"
동작구,"22,690","17,716,653","98,242","152,938",32
관악구,"31,299","22,230,193","136,043","196,643",78
서초구,"16,686","32,824,535","242,700","181,974","39,854"
강남구,"22,464","48,871,036","364,645","236,446","95,742"
송파구,"22,727","38,819,901","236,444","185,492","94,175"
강동구,"18,715","24,990,185","110,313","144,513","16,676"
