지역,건물동수,연면적,에너지사용량(TOE)/전기,에너지사용량(TOE)/도시가스,에너지사용량(TOE)/지역난방
중구,"9,532","5,401,165","29,218","25,905","10,072"
동구,"5,414","2,094,127","10,459","18,695",0
미추홀구,"28,305","14,479,403","67,154","125,211","2,282"
연수구,"5,982","15,321,162","70,421","55,642","47,047"
남동구,"15,764","19,794,148","84,987","125,767","31,611"
부평구,"18,925","16,126,787","83,299","115,009","36,963"
계양구,"9,139","10,359,495","48,424","78,280","14,533"
서구,"16,013","19,411,211","81,402","137,597","30,761"
강화군,"19,722","2,972,139","19,329","7,952",0
옹진군,"5,361","789,556","5,898",0,0
