지역,건물동수,연면적,에너지사용량(TOE)/전기,에너지사용량(TOE)/도시가스,에너지사용량(TOE)/지역난방
종로구,"17,638","9,148,895","60,123","71,263",912
중구,"10,186","10,014,362","74,559","60,037",461
용산구,"16,925","10,800,337","49,986","78,567","11,472"
성동구,"13,400","11,737,554","58,531","97,161",0
광진구,"21,269","12,194,019","66,974","120,397",0
동대문구,"20,727","12,666,047","64,655","108,926",0
중랑구,"23,524","15,234,462","59,318","109,688","7,712"
성북구,"26,390","15,926,452","75,709","144,697",0
강북구,"23,058","9,440,702","47,190","99,468",0
도봉구,"12,959","10,606,207","45,311","89,693","5,777"
노원구,"9,591","17,178,575","77,775","91,315","53,583"
은평구,"24,409","14,567,215","75,855","132,606","15,344"
서대문구,"17,365","12,513,535","62,951","109,231","6,322"
마포구,"18,463","15,030,055","89,542","113,451","19,650"
양천구,"14,571","15,429,303","70,316","83,140","50,569"
강서구,"20,095","20,611,985","86,808","129,993","36,738"
구로구,"17,014","13,546,694","59,927","119,879","4,044"
금천구,"11,967","7,399,878","34,629","70,556",750
영등포구,"17,862","14,933,962","85,194","113,663","13,929"
동작구,"19,855","13,696,704","65,761","134,266",0
관악구,"26,246","16,261,412","84,368","159,807",0
서초구,"12,540","21,194,506","131,750","119,066","39,324"
강남구,"15,679","29,562,489","176,686","143,808","85,710"
송파구,"19,075","25,879,156","136,705","141,869","72,017"
강동구,"16,322","15,080,622","69,453","120,895","11,393"
